Item ID,Custom label,Product ID type,Product ID value,Product ID value 2,Quantity available,Purchases,Bids,Price,Start date,End date,Condition,Type,Item title,Category leaf name,Category number,Private notes,Site listed,Download date,Variation details,Product reference ID,Condition ID,OutOfStockControl
383683115835,ITEM00048,,,,2,0,,�7.83,19-Aug-20,,New,9,"tesa UK Strong Double Sided Adhesive Tape for Fixing Carpets, 25 m x 50 mm",Adhesive Tapes,109475,,3,29-Aug-20 01:32:32 BST,,,1000,false
383683115836,ITEM00068,,,,0,0,,�8.95,19-Aug-20,,New,9,"Chuckit Ultra Ball, Durable High Bounce Rubber Dog Ball, Launcher Compatible, 2",Toys,177791,,3,29-Aug-20 01:32:32 BST,,5026658358,1000,false
383683115838,ITEM00030,,,,2,0,,�9.36,19-Aug-20,,New,9,The Soul Unsettled,Cleansers & Toners,177765,,3,29-Aug-20 01:32:32 BST,,3031195126,1000,false
383683115840,ITEM00078,,,,2,0,,�3.83,19-Aug-20,,New,9,Numicon: Table-top Number Lines,School Textbooks & Study Guides,171223,,3,29-Aug-20 01:32:32 BST,,111532883,1000,false
383683115837,ITEM00020,,,,2,0,,�5.40,19-Aug-20,,New,9,Moosehead Gritty Styling Clay 100g,Styling Products,11860,,3,29-Aug-20 01:32:32 BST,,,1000,false
383683115843,ITEM00088,,,,0,1,,�21.97,19-Aug-20,,New,9,"Vetericyn Plus VF Wound and Skin Care Hydrogel, 500 ml",Skin & Coat Care,134791,,3,29-Aug-20 01:32:32 BST,,,1000,false
383683115844,ITEM00083,,,,2,0,,�7.08,19-Aug-20,,New,9,Hama Beads 4 Interlocking Square Pegboards,Creative Toys & Activities,80546,,3,29-Aug-20 01:32:32 BST,,,1000,false
383683115845,ITEM00038,,,,2,0,,�3.15,19-Aug-20,,New,9,Wolf Beaded Bookmark,Bookmarks,45114,,3,29-Aug-20 01:32:32 BST,,,1000,false
383683115848,ITEM00063,,,,2,1,,�6.52,19-Aug-20,,New,9,"Earth Rated Biodegradable Dog Poop Bags, Pack of 120",Pooper Scooper & Bags,116392,,3,29-Aug-20 01:32:32 BST,,16026722104,1000,false
383683115850,ITEM00059,,,,2,0,,�7.08,19-Aug-20,,New,9,"wolfcraft 5208000 Mitre Angle, Grey, 150 x 275 x 66 mm",Squares,147814,,3,29-Aug-20 01:32:32 BST,,13031185872,1000,false
383683115853,ITEM00074,,,,2,4,,�8.58,19-Aug-20,,New,9,QV Gentle Wash 500ml,Other Bath & Body,11837,,3,29-Aug-20 01:32:32 BST,,,1000,false
383683115857,ITEM00079,,,,2,0,,�7.84,19-Aug-20,,New,9,Gypsy Witch Fortune Telling Playing Cards,School Textbooks & Study Guides,171223,,3,29-Aug-20 01:32:32 BST,,87770729,1000,false
383683115858,ITEM00069,,,,2,0,,�9.90,19-Aug-20,,New,9,Natures Aid Glucosamine Sulphate 1000 mg with Vitamin C to Support Normal,Vitamins & Minerals,11776,,3,29-Aug-20 01:32:32 BST,,,1000,false
383683115859,ITEM00054,,,,0,0,,�5.74,19-Aug-20,,New,9,"Groom Professional Bright White Shampoo, 250 ml",Shampooing & Washing,149019,,3,29-Aug-20 01:32:32 BST,,,1000,false
383683115860,ITEM00084,,,,2,2,,�5.97,19-Aug-20,,New,9,"DYLON Washing Machine Fabric Dye Pod for Clothes & Soft Furnishings, 350g ?",Fabric Dyes,183120,,3,29-Aug-20 01:32:32 BST,,,1000,false
383683115861,ITEM00089,,,,2,1,,�8.21,19-Aug-20,,New,9,Kair Connector with Backdraught Shutter 100mm - 4 inch Non-Return Damper Flap,Dampers & Actuators,126208,,3,29-Aug-20 01:32:32 BST,,,1000,false
383683115863,ITEM00044,,,,0,0,,�8.11,19-Aug-20,,New,9,"Royal Doulton Gordon Ramsay Maze GRMZWH08288 22cm Side Plate White, Stoneware",Tableware,64970,,3,29-Aug-20 01:32:32 BST,,,1000,false
